"udid","time","count","avg_duration"
"104008439","1474588800","2","112"
"104011104","1474588800","2","44"
"104022241","1474588800","2","413"
"104022356","1474588800","2","125"
"104022069","1474592400","5","1561"
"104022090","1474592400","3","2631"
"104022326","1474592400","2","70"
"103995348","1474592400","1","72612"
"104022332","1474592400","1","63"
"104009608","1474592400","2","639"
"104021517","1474592400","1","112"
"104021801","1474592400","1","23"
"104021542","1474596000","6","2583"
"103999244","1474596000","2","143"
"104021107","1474596000","1","19"
"104021801","1474596000","1","257"
"104022225","1474596000","1","3"
"104022332","1474596000","3","480"
"103991138","1474599600","1","5"
"104018714","1474599600","1","286"
"104021542","1474599600","1","963"
"104022018","1474599600","2","39"
"104022367","1474599600","1","254"
"103977728","1474603200","1","2199"
"104009608","1474603200","1","59"
"104022292","1474603200","1","1938"
"104022373","1474603200","4","1112"
"104022374","1474603200","1","17017"
"104022106","1474606800","1","907"
"104019576","1474606800","6","10185"
"104021801","1474606800","2","4"
"104022094","1474606800","1","174"
"104022332","1474606800","2","157"
"104022373","1474606800","1","880"
"104019282","1474610400","1","72"
"104021801","1474610400","2","2899"
"104022094","1474610400","1","407"
"104022289","1474610400","1","59"
"104022332","1474610400","7","1530"
"104022373","1474610400","3","1908"
"104011884","1474614000","2","440"
"104022377","1474614000","1","74494"
"104011884","1474617600","2","277"
"104021801","1474617600","4","812"
"104021861","1474617600","1","1"
"104022094","1474617600","1","520"
"104022360","1474617600","1","1528"
"104017294","1474621200","6","1602"
"104021542","1474621200","1","384"
"104022314","1474624800","1","757"
"104022360","1474624800","1","11"
"104022371","1474624800","1","46399"
"104022383","1474624800","1","4151"
"104016145","1474628400","1","22000"
"104018201","1474628400","1","263"
"104019677","1474628400","1","37"
"104012689","1474632000","1","1225"
"104012689","1474635600","1","1815"
"104018201","1474635600","1","79"
"104022391","1474635600","1","21"
"103964963","1474639200","1","913"
"104012689","1474639200","2","3459"
"104022396","1474639200","1","1112"
"104022396","1474642800","3","1942"
"104012689","1474642800","1","130"
"104015752","1474642800","2","135"
"104022281","1474642800","1","2"
"103989461","1474646400","4","3574"
"104009678","1474646400","1","35276"
"104012689","1474646400","3","2307"
"104021609","1474646400","2","1182"
"104022301","1474646400","2","83"
"103968104","1474650000","2","26"
"104012689","1474650000","3","935"
"104019815","1474650000","4","1657"
"104022298","1474650000","3","3320"
"103996866","1474653600","8","2820"
"104021079","1474653600","3","37"
"104022106","1474653600","1","1928"
"104022409","1474653600","1","11396"
"103997007","1474657200","1","123"
"104022225","1474657200","1","14"
"104022370","1474657200","1","62"
"104022381","1474657200","1","252"
"103997007","1474660800","2","68"
"104019678","1474660800","1","1034"
"104022190","1474660800","1","31"
"104022414","1474660800","1","5"
"103979677","1474664400","1","396"
"103987188","1474664400","1","3"
"103988019","1474664400","1","2"
